"TIME","GEO","NRG_BAL","SIEC","UNIT","Value","Flag and Footnotes"
"1990","European Union - 27 countries (from 2020)","Gross available energy","Total","Thousand tonnes of oil equivalent","1,489,935.119",""
"1990","European Union - 27 countries (from 2020)","Total energy supply","Total","Thousand tonnes of oil equivalent","1,438,542.892",""
"1990","European Union - 27 countries (from 2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent","1,367,830.879",""
"1990","European Union - 27 countries (from 2020)","Available for final consumption","Total","Thousand tonnes of oil equivalent","1,003,902.023",""
"1990","Euro area - 19 countries  (from 2015)","Gross available energy","Total","Thousand tonnes of oil equivalent","1,138,967.653",""
"1990","Euro area - 19 countries  (from 2015)","Total energy supply","Total","Thousand tonnes of oil equivalent","1,091,930.097",""
"1990","Euro area - 19 countries  (from 2015)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent","1,032,030.384",""
"1990","Euro area - 19 countries  (from 2015)","Available for final consumption","Total","Thousand tonnes of oil equivalent","769,941.546",""
"1990","Belgium","Gross available energy","Total","Thousand tonnes of oil equivalent","52,829.989",""
"1990","Belgium","Total energy supply","Total","Thousand tonnes of oil equivalent","47,773.707",""
"1990","Belgium","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent","45,630.231",""
"1990","Belgium","Available for final consumption","Total","Thousand tonnes of oil equivalent","31,026.470",""
"1990","Bulgaria","Gross available energy","Total","Thousand tonnes of oil equivalent","28,259.759",""
"1990","Bulgaria","Total energy supply","Total","Thousand tonnes of oil equivalent","27,958.460",""
"1990","Bulgaria","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent","26,769.649",""
"1990","Bulgaria","Available for final consumption","Total","Thousand tonnes of oil equivalent","17,475.764",""
"1990","Czechia","Gross available energy","Total","Thousand tonnes of oil equivalent","49,994.565",""
"1990","Czechia","Total energy supply","Total","Thousand tonnes of oil equivalent","49,772.048",""
